主页,http://www.huoche.com.cn/,^/$,火车票查询_预订_火车时刻表_列车时刻表_火车网
火车时刻/票价首页,http://www.huoche.com.cn/sheng/,^/sheng/$,【火车时刻票价查询】最新全国列车时刻表查询_票价查询_火车网
城市时刻索引,http://www.huoche.com.cn/s7/,^/s\d+/$,【广西列车时刻表】广西车站大全_火车时刻表查询_火车网
城市时刻表列表                          http://www.huoche.com.cn/z2132830216.html,http://www.huoche.com.cn/z2132830216.html,^/z\d+\.html$,【百色列车时刻表】火车时刻表_火车站时刻表_车次一览_火车网
城市到城市时刻表/票价列表,http://www.huoche.com.cn/beijing-shanghai.html,^/[a-z]+-[a-z]+\.html$,【北京到上海列车时刻表】火车时刻表_票价_车次一览_预订_火车网
全国火车订票点/电话大全,http://www.huoche.com.cn/dingpiao/,^/dingpiao/$,【全国火车订票点电话大全】全国火车票售票点_代售点_售票处_订票电话大全_火车网
城市订票点/电话列表,http://www.huoche.com.cn/dingpiao/beijing/,^/dingpiao/[a-z]+/$,【北京订票点电话大全】北京火车票售票点_代售点_售票处_订票电话大全_火车网
城市订票/电话列表-Pn,http://www.huoche.com.cn/dingpiao/beijing/p2.html,^/dingpiao/[a-z]+/p\d+,【北京订票点电话大全】北京火车票售票点_代售点_售票处_订票电话大全_100_火车网
城市+行政区订票点/电话列表,http://www.huoche.com.cn/dingpiao/beijing/area/57/,^/dingpiao/[a-z]+/area/\d+/$,【北京_朝阳区_订票点电话大全】售票点_代售点_售票处_订票电话大全_火车网
城市+行政区列表-Pn,http://www.huoche.com.cn/dingpiao/beijing/area/57/p2.html,^/dingpiao/[a-z]+/area/\d+/p\d+\.html$,【北京_朝阳区_订票点电话大全】售票点_代售点_售票处_订票电话大全_100_火车网
订票点详细页,http://www.huoche.com.cn/dingpiao/shoupiao/3493.html,^/dingpiao/shoupiao/\d+\.html$,【外企航空服务公司火车售票处】地址_电话_火车网



,,,
,"　　
",,
